Date,Component,Avg_Price
2022-01-03,2TB_NVME_GEN4,329.32
2022-01-04,2TB_NVME_GEN4,330.88
2022-01-05,2TB_NVME_GEN4,335.3
2022-01-06,2TB_NVME_GEN4,334.39
2022-01-07,2TB_NVME_GEN4,335.35
2022-01-08,2TB_NVME_GEN4,334.44
2022-01-09,2TB_NVME_GEN4,343.28
2022-01-10,2TB_NVME_GEN4,342.03
2022-01-11,2TB_NVME_GEN4,337.4
2022-01-12,2TB_NVME_GEN4,337.64
2022-01-13,2TB_NVME_GEN4,335.48
2022-01-14,2TB_NVME_GEN4,330.4
2022-01-15,2TB_NVME_GEN4,329.15
2022-01-16,2TB_NVME_GEN4,330.71
2022-01-17,2TB_NVME_GEN4,330.41
2022-01-18,2TB_NVME_GEN4,319.59
2022-01-19,2TB_NVME_GEN4,319.09
2022-01-20,2TB_NVME_GEN4,321.91
2022-01-21,2TB_NVME_GEN4,321.91
2022-01-22,2TB_NVME_GEN4,324.48
2022-01-23,2TB_NVME_GEN4,320.7
2022-01-24,2TB_NVME_GEN4,325.21
2022-01-25,2TB_NVME_GEN4,319.75
2022-01-26,2TB_NVME_GEN4,320.46
2022-01-27,2TB_NVME_GEN4,316.42
2022-01-28,2TB_NVME_GEN4,316.44
2022-01-29,2TB_NVME_GEN4,324.37
2022-01-30,2TB_NVME_GEN4,321.02
2022-01-31,2TB_NVME_GEN4,320.11
2022-02-01,2TB_NVME_GEN4,318.58
2022-02-02,2TB_NVME_GEN4,320.85
2022-02-03,2TB_NVME_GEN4,321.61
2022-02-04,2TB_NVME_GEN4,320.64
2022-02-05,2TB_NVME_GEN4,312.9
2022-02-06,2TB_NVME_GEN4,321.0
2022-02-07,2TB_NVME_GEN4,312.77
2022-02-08,2TB_NVME_GEN4,312.34
2022-02-09,2TB_NVME_GEN4,303.09
2022-02-10,2TB_NVME_GEN4,301.53
2022-02-11,2TB_NVME_GEN4,309.8
2022-02-12,2TB_NVME_GEN4,322.57
2022-02-13,2TB_NVME_GEN4,319.21
2022-02-14,2TB_NVME_GEN4,307.91
2022-02-15,2TB_NVME_GEN4,315.2
2022-02-16,2TB_NVME_GEN4,306.68
2022-02-17,2TB_NVME_GEN4,305.39
2022-02-18,2TB_NVME_GEN4,305.37
2022-02-19,2TB_NVME_GEN4,302.89
2022-02-20,2TB_NVME_GEN4,303.67
